Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Return Rate,Month/Year,Discount Bucket 
1/6/2020,Whey Protein,Protein,143.00,$31.98,"$4,573.14",3.00%,2.00,Canada,Walmart,1.40%,Jan 2020,0–5%
1/6/2020,Vitamin C,Vitamin,139.00,$42.51,"$5,908.89",4.00%,0.00,UK,Amazon,0.00%,Jan 2020,0–5%
1/6/2020,Fish Oil,Omega,161.00,$12.91,"$2,078.51",25.00%,0.00,Canada,Amazon,0.00%,Jan 2020,20–25%
1/6/2020,Multivitamin,Vitamin,140.00,$16.07,"$2,249.80",8.00%,0.00,Canada,Walmart,0.00%,Jan 2020,5–10%
1/6/2020,Pre-Workout,Performance,157.00,$35.47,"$5,568.79",25.00%,3.00,Canada,iHerb,1.91%,Jan 2020,20–25%
1/6/2020,BCAA,Amino Acid,154.00,$41.19,"$6,343.26",13.00%,1.00,UK,Walmart,0.65%,Jan 2020,10–15%
1/6/2020,Creatine,Performance,134.00,$32.49,"$4,353.66",5.00%,1.00,UK,Walmart,0.75%,Jan 2020,0–5%
1/6/2020,Zinc,Mineral,147.00,$46.68,"$6,861.96",19.00%,0.00,Canada,Amazon,0.00%,Jan 2020,15–20%
1/6/2020,Collagen Peptides,Protein,147.00,$10.96,"$1,611.12",6.00%,2.00,USA,Amazon,1.36%,Jan 2020,5–10%
1/6/2020,Magnesium,Mineral,134.00,$20.76,"$2,781.84",0.00%,0.00,Canada,Amazon,0.00%,Jan 2020,0–5%
1/6/2020,Ashwagandha,Herbal,181.00,$15.49,"$2,803.69",14.00%,1.00,USA,Amazon,0.55%,Jan 2020,10–15%
1/6/2020,Melatonin,Sleep Aid,164.00,$34.41,"$5,643.24",4.00%,1.00,USA,Walmart,0.61%,Jan 2020,0–5%
1/6/2020,Biotin,Vitamin,159.00,$28.79,"$4,577.61",10.00%,1.00,UK,iHerb,0.63%,Jan 2020,5–10%
1/6/2020,Green Tea Extract,Fat Burner,143.00,$31.88,"$4,558.84",6.00%,3.00,UK,Walmart,2.10%,Jan 2020,5–10%
1/6/2020,Iron Supplement,Mineral,149.00,$42.97,"$6,402.53",22.00%,2.00,Canada,iHerb,1.34%,Jan 2020,20–25%
1/6/2020,Electrolyte Powder,Hydration,154.00,$35.92,"$5,531.68",4.00%,2.00,USA,Amazon,1.30%,Jan 2020,0–5%
1/13/2020,Whey Protein,Protein,150.00,$12.08,"$1,812.00",2.00%,2.00,UK,Amazon,1.33%,Jan 2020,0–5%
1/13/2020,Vitamin C,Vitamin,128.00,$10.61,"$1,358.08",24.00%,2.00,USA,Amazon,1.56%,Jan 2020,20–25%
1/13/2020,Fish Oil,Omega,145.00,$27.49,"$3,986.05",19.00%,2.00,USA,Walmart,1.38%,Jan 2020,15–20%
1/13/2020,Multivitamin,Vitamin,137.00,$14.92,"$2,044.04",17.00%,2.00,USA,Amazon,1.46%,Jan 2020,15–20%
1/13/2020,Pre-Workout,Performance,141.00,$14.11,"$1,989.51",24.00%,1.00,Canada,iHerb,0.71%,Jan 2020,20–25%
1/13/2020,BCAA,Amino Acid,160.00,$29.10,"$4,656.00",5.00%,0.00,Canada,Amazon,0.00%,Jan 2020,0–5%
1/13/2020,Creatine,Performance,154.00,$42.20,"$6,498.80",13.00%,0.00,UK,Walmart,0.00%,Jan 2020,10–15%
1/13/2020,Zinc,Mineral,154.00,$47.40,"$7,299.60",20.00%,2.00,USA,Amazon,1.30%,Jan 2020,15–20%
1/13/2020,Collagen Peptides,Protein,134.00,$56.40,"$7,557.60",6.00%,1.00,Canada,iHerb,0.75%,Jan 2020,5–10%
1/13/2020,Magnesium,Mineral,148.00,$40.65,"$6,016.20",24.00%,1.00,UK,Amazon,0.68%,Jan 2020,20–25%
1/13/2020,Ashwagandha,Herbal,133.00,$54.35,"$7,228.55",16.00%,1.00,UK,Walmart,0.75%,Jan 2020,15–20%
1/13/2020,Melatonin,Sleep Aid,141.00,$33.03,"$4,657.23",21.00%,2.00,USA,Amazon,1.42%,Jan 2020,20–25%
1/13/2020,Biotin,Vitamin,161.00,$18.87,"$3,038.07",14.00%,5.00,USA,iHerb,3.11%,Jan 2020,10–15%
1/13/2020,Green Tea Extract,Fat Burner,174.00,$18.24,"$3,173.76",3.00%,2.00,USA,Walmart,1.15%,Jan 2020,0–5%
1/13/2020,Iron Supplement,Mineral,163.00,$35.29,"$5,752.27",21.00%,2.00,USA,Amazon,1.23%,Jan 2020,20–25%
1/13/2020,Electrolyte Powder,Hydration,151.00,$35.42,"$5,348.42",7.00%,2.00,USA,Amazon,1.32%,Jan 2020,5–10%
1/20/2020,Whey Protein,Protein,157.00,$41.81,"$6,564.17",19.00%,0.00,USA,Walmart,0.00%,Jan 2020,15–20%
1/20/2020,Vitamin C,Vitamin,149.00,$22.33,"$3,327.17",18.00%,5.00,UK,Walmart,3.36%,Jan 2020,15–20%
1/20/2020,Fish Oil,Omega,131.00,$50.00,"$6,550.00",5.00%,1.00,USA,Walmart,0.76%,Jan 2020,0–5%
1/20/2020,Multivitamin,Vitamin,159.00,$19.40,"$3,084.60",9.00%,2.00,USA,Walmart,1.26%,Jan 2020,5–10%
1/20/2020,Pre-Workout,Performance,152.00,$48.05,"$7,303.60",1.00%,2.00,USA,iHerb,1.32%,Jan 2020,0–5%
1/20/2020,BCAA,Amino Acid,145.00,$17.44,"$2,528.80",8.00%,3.00,UK,Amazon,2.07%,Jan 2020,5–10%
1/20/2020,Creatine,Performance,148.00,$54.31,"$8,037.88",15.00%,1.00,UK,iHerb,0.68%,Jan 2020,10–15%
1/20/2020,Zinc,Mineral,147.00,$10.16,"$1,493.52",15.00%,1.00,USA,iHerb,0.68%,Jan 2020,10–15%
1/20/2020,Collagen Peptides,Protein,161.00,$39.41,"$6,345.01",12.00%,2.00,UK,Walmart,1.24%,Jan 2020,10–15%
1/20/2020,Magnesium,Mineral,126.00,$38.07,"$4,796.82",14.00%,1.00,Canada,Amazon,0.79%,Jan 2020,10–15%
1/20/2020,Ashwagandha,Herbal,156.00,$23.49,"$3,664.44",21.00%,1.00,Canada,iHerb,0.64%,Jan 2020,20–25%
1/20/2020,Melatonin,Sleep Aid,128.00,$26.71,"$3,418.88",20.00%,2.00,Canada,iHerb,1.56%,Jan 2020,15–20%
1/20/2020,Biotin,Vitamin,161.00,$32.01,"$5,153.61",4.00%,1.00,Canada,Amazon,0.62%,Jan 2020,0–5%
1/20/2020,Green Tea Extract,Fat Burner,148.00,$21.03,"$3,112.44",15.00%,2.00,UK,Walmart,1.35%,Jan 2020,10–15%
